a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
573190,http://www.banggo.com/goods/573190.shtml,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
579099,http://www.banggo.com/goods/579099.shtml,239.0,239.0,239.0,239.0,239.0,239.0,239.0,299.0,299.0,299.0,299.0,299.0,299.0,249.0,249.0,299.0,299.0,299.0,299.0,239.0,239.0,249.0
579102,http://www.banggo.com/goods/579102.shtml,239.0,239.0,239.0,239.0,239.0,239.0,239.0,299.0,299.0,299.0,299.0,299.0,299.0,249.0,249.0,299.0,299.0,299.0,299.0,239.0,239.0,249.0
575113,http://www.banggo.com/goods/575113.shtml,59.0,59.0,59.0,59.0,59.0,59.0,59.0,119.0,119.0,119.0,119.0,119.0,119.0,59.0,59.0,119.0,119.0,119.0,119.0,59.0,59.0,59.0
557175,http://www.banggo.com/goods/557175.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
557179,http://www.banggo.com/goods/557179.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
574290,http://www.banggo.com/goods/574290.shtml,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
575120,http://www.banggo.com/goods/575120.shtml,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
576322,http://www.banggo.com/goods/576322.shtml,59.0,59.0,59.0,59.0,59.0,59.0,59.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,79.0,79.0,59.0,59.0,59.0
576330,http://www.banggo.com/goods/576330.shtml,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
581199,http://www.banggo.com/goods/581199.shtml,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,99.0,99.0,79.0,79.0,79.0
581205,http://www.banggo.com/goods/581205.shtml,129.0,129.0,129.0,129.0,129.0,129.0,129.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,159.0,159.0,129.0,129.0,139.0
581210,http://www.banggo.com/goods/581210.shtml,129.0,129.0,129.0,129.0,129.0,129.0,129.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,159.0,159.0,129.0,129.0,139.0
581214,http://www.banggo.com/goods/581214.shtml,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
581215,http://www.banggo.com/goods/581215.shtml,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
583084,http://www.banggo.com/goods/583084.shtml,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
583085,http://www.banggo.com/goods/583085.shtml,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
583090,http://www.banggo.com/goods/583090.shtml,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0
557181,http://www.banggo.com/goods/557181.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
569125,http://www.banggo.com/goods/569125.shtml,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0
573191,http://www.banggo.com/goods/573191.shtml,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
573193,http://www.banggo.com/goods/573193.shtml,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
573194,http://www.banggo.com/goods/573194.shtml,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
575114,http://www.banggo.com/goods/575114.shtml,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0
583081,http://www.banggo.com/goods/583081.shtml,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
583098,http://www.banggo.com/goods/583098.shtml,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0
583120,http://www.banggo.com/goods/583120.shtml,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
583121,http://www.banggo.com/goods/583121.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
583122,http://www.banggo.com/goods/583122.shtml,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
583123,http://www.banggo.com/goods/583123.shtml,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
527297,http://www.banggo.com/goods/527297.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
530445,http://www.banggo.com/goods/530445.shtml,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,,1279.0,1279.0,1279.0,1599.0,1599.0,1279.0,1279.0,1599.0,1599.0,1279.0,1279.0,1599.0
530458,http://www.banggo.com/goods/530458.shtml,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0
536393,http://www.banggo.com/goods/536393.shtml,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0
548471,http://www.banggo.com/goods/548471.shtml,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,,479.0,479.0,479.0,599.0,599.0,479.0,479.0,599.0,599.0,479.0,479.0,599.0
548491,http://www.banggo.com/goods/548491.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
549305,http://www.banggo.com/goods/549305.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
549306,http://www.banggo.com/goods/549306.shtml,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0
527226,http://www.banggo.com/goods/527226.shtml,359.0,359.0,359.0,359.0,359.0,359.0,359.0,379.0,379.0,,379.0,379.0,379.0,379.0,379.0,379.0,379.0,449.0,449.0,359.0,359.0,379.0
